製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）
計測時ID,1,2,3
計測開始時刻,2024/6/17 12:32,2024/6/17 12:32,2024/6/17 12:32
サンプリング周波数,200,200,200
シーケンス数,5788,5788,5788
PGAゲイン,x12,x12,x12
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
コメント,,,
ファイル保存形式,演算データ,演算データ,演算データ
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV]
430,-0.00312652,-0.00940418,0.03256996
431,0.10950204,-0.01176753,-0.01179215
432,0.03259458,0.00091088,0.00888719
433,-0.03695201,0.00487442,-0.0048498
434,-0.07316548,-0.01356466,-0.03293924
435,0.01986694,-0.02451979,-0.01922686
436,-0.04679932,-0.01405703,0.00423434
437,-0.00866563,-0.01149673,0.00066469
438,0.17579903,0.00226488,0.0261446
439,0.14603554,-0.00605609,0.02095014
440,-0.27845719,-0.02176255,-0.05448022
441,0.0300589,-0.01548489,-0.01996541
442,-0.06900499,-0.00817326,0.0090349
443,-0.03025585,-0.00893643,0.05248614
444,-0.06090559,-0.01607573,-0.09266315
445,-0.01075818,-0.0190053,-0.02877875
446,-0.00051698,-0.01602649,-0.00979807
447,0.00475133,-0.00598224,-0.04310658
448,0.00243721,0.00846868,0.01016734
449,0.00425896,-0.0146971,-0.01688813
450,0.00610533,-0.01642038,-0.00502213
451,0.00386507,-0.00888719,-0.00460362
452,0.0079517,-0.00352041,0.00034466
453,0.00605609,0.00548987,-0.00275725
454,0.00748395,-0.01351543,0.00290496
455,0.04121097,-0.01708508,0.0048498
456,0.09630665,-0.00790246,0.00142786
457,0.11075757,0.00977345,0.05233843
458,-0.25081088,0.00514522,0.00499751
459,0.01632191,-0.02205796,-0.01890683
460,0.01669118,-0.02223029,-0.00760704
461,0.157163,-0.0094288,0.07565193
462,-0.11494268,-0.01112746,-0.00128015
463,-0.05548957,-0.01147211,-0.05386476
464,-0.12587319,-0.02540605,-0.02488907
465,-0.05214148,-0.02090091,-0.0095765
466,-0.01531256,-0.01336772,0.00450514
467,0.00856716,-0.00433281,0.00881334
468,0.03018199,0.00019695,0.00169866
469,0.00029542,-0.01605111,-0.01125055
470,0.0274986,-0.02321502,-0.01740511
471,0.00487442,-0.00475133,0.01750359
472,-0.03047741,0.0020187,-0.00292957
473,0.02939421,-0.00558835,-0.01405703
474,0.07506109,-0.01619882,0.01006887
475,-0.19815241,-0.01962076,0.00745933
476,0.13099378,-0.01555874,0.01189062
477,-0.0031019,-0.01179215,-0.00416049
478,-0.00177252,-0.00388969,-0.00704082
479,0.0306005,-0.01991618,-0.0229196
480,0.04982737,-0.01782362,-0.00649922
481,-0.07351014,-0.00777937,0.01934996
482,-0.02653849,-0.00548987,0.03542568
483,-0.06718324,0.00809941,-0.05718823
484,-0.04793176,-0.00507136,0.06651855
485,-0.02090091,-0.01462325,-0.01026582
486,-0.0130723,-0.00288034,-0.02791711
487,0.0159034,0.01001963,0.01912839
488,0.02626769,0.00950265,-0.0303297
489,0.09554348,-0.01061047,-0.02784326
490,-0.07365785,-0.00888719,-0.02245186
491,0.02459365,-0.00617918,-0.00352041
492,0.04662699,-0.01073356,-0.01742973
493,0.14913745,0.00450514,0.01573107
494,0.02993581,-0.00558835,0.02378124
495,-0.15388877,-0.0175282,0.00204332
496,0.01639576,-0.01949767,0.01100436
497,-0.09418948,-0.01383546,-0.03392397
498,0.00059084,-0.00839483,-0.01802057
499,0.00017233,-0.01479558,0.02688314
500,0.00736086,-0.01395856,-0.01570645
501,-0.01127517,-0.00617918,0.00083702
502,0.06787255,0.00034466,0.05851761
503,-0.00371736,0.00940418,-0.06996511
504,-0.0578283,-0.01531256,-0.04588844
505,0.02840948,-0.00967498,-0.01277688
506,0.03269306,-0.00413587,0.01349081
507,-0.00096011,0.00066469,-0.01029043
508,0.00681926,0.00140324,-0.03239764
509,0.02919726,-0.00974883,-0.00891181
510,-0.12971363,-0.01472172,-0.01614958
511,0.18338145,-0.0040374,-0.00999502
512,0.004579,0.00475133,0.03786289
513,0.00130477,0.00396354,-0.00241259
514,-0.08847804,-0.01824213,0.00600686
515,0.45213904,-0.01486943,0.08709942
516,-0.26026429,-0.01056124,-0.04736554
517,-0.06600157,-0.00420972,-0.04551917
518,0.06238268,0.0039143,-0.01115207
519,-0.0660508,-0.00305266,0.00302805
520,-0.01189062,-0.01019196,-0.00051698
521,-0.00622842,-0.0048498,-0.00448052
522,0.00711468,0.00041851,0.03143752
523,0.03700125,0.01048738,0.04835027
524,0.01518947,-0.00765628,-0.0068685
525,0.15543972,-0.01102898,-0.02833562
526,-0.00864101,0.00312652,-0.0040374
527,-0.20066347,-0.01344157,0.0337024
528,0.13653289,-0.0144263,-0.0229196
529,-0.06484451,-0.03079745,-0.06998973
530,-0.02309193,-0.0221072,0.00637613
531,0.42926867,-0.0008124,-0.01521409
532,-0.19709382,0.00059084,0.02328888
533,-0.17717765,0.00280648,-0.03722282
