製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,
計測開始時刻,10/10 16:07:20,10/10 16:07:20,
サンプリング周波数,200,200,
シーケンス数,7188,7188,
PGAゲイン,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,
ファイル保存形式,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],
720,-0.0107828,0.00654846,
721,-0.00349579,0.02432285,
722,0.00118168,-0.02454441,
723,0.01543565,0.0359919,
724,0.01260455,-0.03527797,
725,0.01405703,0.00728701,
726,0.00315114,-0.03426862,
727,0.02003927,0.05238767,
728,-0.00561296,-0.00182175,
729,-0.0093057,-0.08116642,
730,-0.0005416,-0.03136367,
731,-0.00130477,-0.09938393,
732,0.00317576,0.05864071,
733,0.00507136,-0.01976847,
734,0.01134902,0.00093549,
735,-0.01174291,-0.01516485,
736,-0.00556373,0.00987192,
737,-0.00388969,-0.00204332,
738,0.0076809,-0.03759209,
739,0.00401278,0.03549954,
740,0.01826675,-0.03670583,
741,-0.0130723,0.00059084,
742,-0.00076317,-0.01659271,
743,0.0181929,-0.03636118,
744,0.011866,0.01856217,
745,-0.01137364,-0.00743472,
746,-0.00130477,-0.03119134,
747,-0.00494827,0.04426364,
748,-0.00755781,-0.00007385,
749,0.00659769,0.00608071,
750,0.02865566,-0.05130446,
751,-0.00374198,-0.00901028,
752,0.02188564,0.01056124,
753,0.02296884,0.00100935,
754,-0.03702587,-0.00684388,
755,-0.01019196,0.02607074,
756,-0.00576067,-0.06016704,
757,-0.00105859,0.00905952,
758,0.01400779,-0.03338237,
759,0.0102412,-0.0572867,
760,-0.01799595,0.08175726,
761,0.00140324,0.00785323,
762,0.00265877,-0.04241727,
763,-0.00022156,0.0005416,
764,-0.00322499,0.06686321,
765,0.00288034,-0.01947305,
766,0.00361888,0.01277688,
767,0.00420972,0.01016734,
768,0.00940418,-0.02949268,
769,0.04773481,0.01541103,
770,-0.0121368,-0.03000966,
771,-0.00866563,-0.02811406,
772,-0.00007385,-0.05851761,
773,-0.02451979,0.02786788,
774,-0.00637613,-0.0130723,
775,0.00878872,-0.01541103,
776,-0.0062038,-0.01238299,
777,0.01019196,0.05423404,
